timestamp	pid	process_name	cpu_percent	memory_gb	gpu_memory_mb	gpu_utilization	gpu_name
2026-04-29 10:36:58	37886	python3.13	0.10	0.359	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:03	37886	python3.13	2.50	0.370	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:09	37886	python3.13	1.60	0.389	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:14	37886	python3.13	1.10	0.399	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:20	37886	python3.13	17.80	0.025	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:25	37886	python3.13	0.20	0.047	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:30	37886	python3.13	0.20	0.054	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:36	37886	python3.13	0.40	0.142	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:41	37886	python3.13	1.20	0.332	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:46	37886	python3.13	1.00	0.353	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:52	37886	python3.13	1.00	0.366	0.00	0.0	Apple Silicon GPU
2026-04-29 10:37:57	37886	python3.13	1.10	0.380	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:02	37886	python3.13	0.30	0.284	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:08	37886	python3.13	2.00	0.376	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:13	37886	python3.13	34.80	0.398	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:18	37886	python3.13	19.00	0.360	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:24	37886	python3.13	0.40	0.359	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:29	37886	python3.13	20.50	0.312	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:35	37886	python3.13	96.20	0.312	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:40	37886	python3.13	0.50	0.217	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:45	37886	python3.13	0.00	0.056	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:51	37886	python3.13	18.20	0.127	0.00	0.0	Apple Silicon GPU
2026-04-29 10:38:56	37886	python3.13	86.20	0.127	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:01	37886	python3.13	82.00	0.295	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:07	37886	python3.13	87.10	0.326	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:12	37886	python3.13	96.20	0.297	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:18	37886	python3.13	4.40	0.297	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:23	37886	python3.13	0.20	0.325	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:28	37886	python3.13	0.50	0.350	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:33	37886	python3.13	0.40	0.158	0.00	0.0	Apple Silicon GPU
2026-04-29 10:39:39	37886	python3.13	8.30	0.076	0.00	0.0	Apple Silicon GPU
